mire,inflection of mirar:,mirar,updated
tonto,stupid,tonto,
campo,countryside country,campo,
siendo,gerund of ser,ser,updated
diez,ten,diez,
tranquilo,calm peaceful tranquil quiet,tranquilo,
asunto,matter issue business,asunto,
derecho,straight (not crooked or bent having a constant direction throughout its length),derecho,
placer,(intransitive used with indirect object pronouns) to like (something or someone),placer,
recuerda,inflection of recordar:,recordar,updated
estuve,first-person singular preterite indicative of estar,estar,updated
tratando,gerund of tratar,tratar,updated
futuro,future (occurring in the future),futuro,
llevar,(transitive) to take to carry to take away to carry away to carry around to bring to bear to lug (implies to move something further from who speaks),llevar,
venido,past participle of venir,venir,updated
listos,masculine plural of listo,listo,updated
haremos,first-person plural future indicative of hacer,hacer,updated
sitio,site place,sitio,
verlo,infinitive of ver combined with lo,ver,updated
puesto,market stall market stand,puesto,
sino,destiny fate lot,sino,
cambiar,(transitive intransitive) to change to shift to switch to alter,cambiar,
error,error,error,
blanco,white,blanco,
raro,rare,raro,
palabras,plural of palabra (“words”),palabra,updated
sal,salt table salt,sal,
pase,pass permit,pase,
mente,mind intellect,mente,
sistema,system,sistema,
anda,(also in the plural) a bier or small platform when carried by people (usually 4 or more individuals) to move a corpse or religious image,anda,
ello,it neuter third-person subject and disjunctive pronoun (used only to refer to facts sets of things and indefinite things that have been mentioned before generally used with prepositions and rarely used as a subject except in literary style),ello,
negocio,business enterprise (commercial enterprise or establishment),negocio,
novia,female equivalent of novio girlfriend,novio,updated
permiso,permission,permiso,
suena,inflection of sonar:,sonar,updated
ocurre,inflection of ocurrir:,ocurrir,updated
oficial,official,oficial,
espere,inflection of esperar:,esperar,updated
aire,air (the substance constituting earth's atmosphere),aire,
george,,george,
harry,,harry,
regresar,(intransitive) to return go back come back,regresar,
vio,third-person singular preterite indicative of ver,ver,updated
hazlo,second-person singular imperative of hacer combined with lo,hacer,updated
trasero,back back-side rear-side posterior,trasero,
grupo,group,grupo,
entendido,expert,entendido,
mÃºsica,,mÃºsica,
perra,female equivalent of perro (“dog”): bitch female dog,perro,updated
conoce,inflection of conocer:,conocer,updated
empezar,to start begin to get started,empezar,
siente,inflection of sentar:,sentar,updated
acabo,synonym of acabamiento,acabamiento,updated
estÃºpido,,estÃºpido,
diferente,different,diferente,
traje,suit,traje,
modo,way manner,modo,
james,,james,
mensaje,message,mensaje,
llamada,call,llamada,
navidad,alternative letter-case form of Navidad,Navidad,updated
eras,plural of era,era,updated
pena,punishment,pena,
largo,long (having much distance from one terminating point to another),largo,
entra,inflection of entrar:,entrar,updated
piso,floor ground (surface of the earth),the,updated
foto,photo photograph,foto,
dijeron,third-person plural preterite indicative of decir,decir,updated
accidente,accident (unexpected event with negative consequences),accidente,
fuiste,second-person singular preterite indicative of ir,ir,updated
imposible,impossible,imposible,
propia,feminine singular of propio,propio,updated
barco,boat (usually with a concave hull),barco,
ganar,(transitive) to gain,ganar,
vive,inflection of vivar:,vivar,updated
mitad,(fractional number) half,mitad,
quiera,inflection of querer:,querer,updated
tras,after following in the wake of,tras,
decirle,infinitive of decir combined with le,decir,updated
lindo,pretty,lindo,
funciona,inflection of funcionar:,funcionar,updated
programa,programme program,programa,
vine,first-person singular preterite indicative of venir,venir,updated
abre,inflection of abrir:,abrir,updated
sean,inflection of ser:,ser,updated
pagar,to pay,pagar,
fotos,plural of foto,foto,updated
centro,(general) center,centro,
supone,third-person singular present indicative of suponer,suponer,updated
basura,trash waste garbage rubbish nonsense,basura,
mejores,plural of mejor,mejor,updated
vienen,third-person plural present indicative of venir,venir,updated
encanta,inflection of encantar:,encantar,updated
marido,husband,marido,
personal,personal,personal,
maestro,master,maestro,
hambre,hunger,hambre,
ataque,attack (an attempt to damage an opponent or enemy),ataque,
culo,ass arse booty rear behind butt buttocks,culo,
dale,(Argentina) OK okey dokey right,dale,
pie,foot (a part of the body),pie,
conseguir,(transitive) to achieve succeed in reach accomplish attain,conseguir,
trabajando,gerund of trabajar,trabajar,updated
gracioso,funny amusing,gracioso,
pudo,third-person singular preterite indicative of poder,poder,updated
derecha,right (direction),derecha,
izquierda,left (side direction),izquierda,
pobre,(before the noun) poor (pitiable pitiful),pobre,
respuesta,reply response answer,respuesta,
tipos,masculine plural of tipo,tipo,updated
sentir,(transitive) to feel,sentir,
pude,first-person singular preterite indicative of poder,poder,updated
darle,infinitive of dar combined with le,dar,updated
voz,voice,voz,
amiga,female equivalent of amigo friend,amiga,
gustan,third-person plural present indicative of gustar,gustar,updated
vista,sight vision eyesight (the ability to see),vista,
salvo,safe,salvo,
loca,(derogatory) a madwoman female equivalent of loco,loca,
hotel,hotel,hotel,
hicieron,third-person plural preterite indicative of hacer,hacer,updated
ten,second-person singular imperative of tener,tener,updated
temo,first-person singular present indicative of temar,temar,updated
pelo,hair (a single hair),pelo,
llevo,first-person singular present indicative of llevar,llevar,updated
ayer,yesterday,ayer,
das,inflection of dar:,dar,updated
nena,female equivalent of nene: baby girl,nene,updated
servicio,service,servicio,
tren,(transport railway) train,tren,
tom,,tom,
bonito,pretty cute,bonito,
mes,month,mes,
edad,age,edad,
ellas,they them (used subjectively and after prepositions can refer to women and feminine nouns),ellas,
hermosa,feminine singular of hermoso,hermoso,updated
ben,,ben,
honor,honor,honor,
simplemente,simply,simplemente,
llamas,plural of llama,llama,updated
tengas,second-person singular present subjunctive of tener,tener,updated
corre,inflection of correr:,correr,updated
baja,casualty loss,baja,
sol,sun,sol,
dan,(martial arts) dan,dan,
humano,human,humano,
divertido,entertaining amusing funny,divertido,
sexo,sex (the biological category),sexo,
vuelto,change (money given back),vuelto,
peligro,peril danger,peligro,
mesa,table,mesa,
